"Kunstner","Album titel","SKU","Nid","Format","attribute","Pris","Meta"
"Dangers of the Sea","Our Place in History","NA853","4385","12"" LP:1","Format:select:1","85,00 kr.","Dangers of the Sea-Our Place in History"
"Dangers of the Sea","Our Place in History","NA855","4385","CD:1","Format:select:1","75,00 kr.","Dangers of the Sea-Our Place in History"
"The Lost Loves","Daddy Issues","NA852","4384","12"" LP:1","Format:select:1","81,25 kr.","The Lost Loves-Daddy Issues"
"Masasolo","At Sixes and Sevens","NA805","4383","12"" LP:1","Format:select:1","85,00 kr.","Masasolo-At Sixes and Sevens"
"Masasolo","At Sixes and Sevens","NA805","4383","12"" LP:1","Format:select:1","85,00 kr.","Masasolo-At Sixes and Sevens"
"I Like To Sleep","Bedmonster","AGCRLP1703","4382","12"" LP:1","Format:select:1","100,00 kr.","I Like To Sleep-Bedmonster"
"Tidsgæst","Ind I Mellem","NA851","4381","12"" LP:1","Format:select:1","120,00 kr.","Tidsgæst-Ind I Mellem"
"Arbirk","Disguises","NA850","4380","12"" LP:1","Format:select:1","87,50 kr.","Arbirk-Disguises"
"Big Mess","'Try To Enjoy It","Indisc19","4379","12"" LP:1","Format:select:1","75,00 kr.","Big Mess-'Try To Enjoy It"
"Dragontears ","Turn On Tune In Fuck Off!! ","AFROCD040","3210","CD:1","Format:select:1","75,00 kr.","Dragontears -Turn On Tune In Fuck Off!! "
"Dragontears ","Turn On Tune In Fuck Off!! ","AFROLP040","3210","12"" LP:1","Format:select:1","85,00 kr.","Dragontears -Turn On Tune In Fuck Off!! "
"Papa Kotji","Macho Drom","NA804","4378","12"" LP:1","Format:select:1","85,00 kr.","Papa Kotji-Macho Drom"
"Bisse","19. 6. 87","BIZ07","4377","2 x 12"" + Booklet:1","Format:select:1","120,00 kr.","Bisse-19. 6. 87"
"Bisse","19. 6. 87","BIZ07","4377","2 x 12"" + Booklet:1","Format:select:1","120,00 kr.","Bisse-19. 6. 87"
"Bisse","19. 6. 87","MiniCD05","4377","CD:1","Format:select:1","85,00 kr.","Bisse-19. 6. 87"
"Bisse","19. 6. 87","MiniCD05","4377","CD:1","Format:select:1","85,00 kr.","Bisse-19. 6. 87"
"Debre Damo Dining Orchestra","DDDO2","NA803","4376","12"" LP:1","Format:select:1","85,00 kr.","Debre Damo Dining Orchestra-DDDO2"
"Virgin Suicide","Forever Trouble","NORDICLP175","4375","12"" LP:1","Format:select:1","89,00 kr.","Virgin Suicide-Forever Trouble"
"The Attic Sleepers","Transit","NA802","4374","12"" LP:1","Format:select:1","85,00 kr.","The Attic Sleepers-Transit"
"Fred W.P.","with Merigold, Brothers Brown, Backdoor Red & Family Singers","NA801","4373","12"" LP:1","Format:select:1","85,00 kr.","Fred W.P.-with Merigold, Brothers Brown, Backdoor Red & Family Singers"
"Asger Baden & Peder","Furcula Episode 1","LSD013","4372","12"" LP:1","Format:select:1","100,00 kr.","Asger Baden & Peder-Furcula Episode 1"
"Asger Baden & Peder","Furcula Episode 1","LSD013","4372","12"" LP:1","Format:select:1","100,00 kr.","Asger Baden & Peder-Furcula Episode 1"
"Anders Holst","Shadow Ray","NA706","4370","12"" LP:1","Format:select:1","100,00 kr.","Anders Holst-Shadow Ray"
"Red Mountains","Slow Wander","AGCRLP1702","4369","12"" LP:1","Format:select:1","81,25 kr.","Red Mountains-Slow Wander"
"PRTLVX (Pirate Love)","Transcendental Sorcery","FY103LP","4368","12"" LP:1","Format:select:1","75,00 kr.","PRTLVX (Pirate Love)-Transcendental Sorcery"
"Kyrre Bjørkås","The Big Blot","FY106LP","4367","12"" LP:1","Format:select:1","75,00 kr.","Kyrre Bjørkås-The Big Blot"
"Kyrre Bjørkås","The Big Blot","FY106LP","4367","12"" LP:1","Format:select:1","75,00 kr.","Kyrre Bjørkås-The Big Blot"
"Beglomeg","Eurokrjem","FY086LP","4366","12"" LP:1","Format:select:1","75,00 kr.","Beglomeg-Eurokrjem"
"Beglomeg","Eurokrjem","FY086LP","4366","12"" LP:1","Format:select:1","75,00 kr.","Beglomeg-Eurokrjem"
"Beglomeg","Compac Dick Collection","FY107CD","4365","3 x CD:1","Format:select:1","75,00 kr.","Beglomeg-Compac Dick Collection"
"Beglomeg","Compac Dick Collection","FY107CD","4365","3 x CD:1","Format:select:1","75,00 kr.","Beglomeg-Compac Dick Collection"
"Le Corbeau","Evening Chill/Montreal of the Mind","FY010","4364","12"" LP:1","Format:select:1","75,00 kr.","Le Corbeau-Evening Chill/Montreal of the Mind"
"Le Corbeau","Evening Chill/Montreal of the Mind","FY010","4364","12"" LP:1","Format:select:1","75,00 kr.","Le Corbeau-Evening Chill/Montreal of the Mind"
"Le Corbeau","Evening Chill/Montreal of the Mind","FY010CD","4364","CD:1","Format:select:1","40,00 kr.","Le Corbeau-Evening Chill/Montreal of the Mind"
"Le Corbeau","Evening Chill/Montreal of the Mind","FY010CD","4364","CD:1","Format:select:1","40,00 kr.","Le Corbeau-Evening Chill/Montreal of the Mind"
"Le Corbeau","Moth On The Headlight","FY040","4363","12"" LP:1","Format:select:1","75,00 kr.","Le Corbeau-Moth On The Headlight"
"Le Corbeau","Moth On The Headlight","FY040","4363","12"" LP:1","Format:select:1","75,00 kr.","Le Corbeau-Moth On The Headlight"
"Le Corbeau","Moth On The Headlight","FY00CD","4363","CD:1","Format:select:1","40,00 kr.","Le Corbeau-Moth On The Headlight"
"Le Corbeau","Moth On The Headlight","FY00CD","4363","CD:1","Format:select:1","40,00 kr.","Le Corbeau-Moth On The Headlight"
"Anders Koppel","Past, Present, Future","CB68","4362","3 x LP + 7"":1","Format:select:1","500,00 kr.","Anders Koppel-Past, Present, Future"
"Anders Koppel","Past, Present, Future","CB68","4362","3 x LP + 7"":1","Format:select:1","500,00 kr.","Anders Koppel-Past, Present, Future"
"The Trouble with Rhonda Harris","S/T","WWR-02","4361","12"" LP:1","Format:select:1","100,00 kr.","The Trouble with Rhonda Harris-S/T"
"Olesen-Olesen","Solsort og forstærker","WWR-03","4360","12"" LP:1","Format:select:1","100,00 kr.","Olesen-Olesen-Solsort og forstærker"
"First Flush","FUWA","NA703","4354","12"" LP:1","Format:select:1","75,00 kr.","First Flush-FUWA"
"Various Artists","Dendronephthya","DDR058","4359","CD:1","Format:select:1","35,00 kr.","Various Artists-Dendronephthya"
"Walther & De andre bonderøve","Live fra Karma Kajen","NL0003","4358","12"" LP:1","Format:select:1","100,00 kr.","Walther & De andre bonderøve-Live fra Karma Kajen"
"Walther","Ro & Nutidens Stemmer","NL0002","4357","12"" LP:1","Format:select:1","100,00 kr.","Walther-Ro & Nutidens Stemmer"
"The Mayflower Pussyfarm","A Cosmic Medicine Show","MFLP001","4356","12"" LP:1","Format:select:1","75,00 kr.","The Mayflower Pussyfarm-A Cosmic Medicine Show"
"Death Machine","Cocoon","NA704","4355","12""LP:1","Format:select:1","87,50 kr.","Death Machine-Cocoon"
"Death Machine","Cocoon","NA704","4355","12""LP:1","Format:select:1","87,50 kr.","Death Machine-Cocoon"
"Måneskjold","Kometen Kommer","Kommun2-37","4352","12"" LP:1","Format:select:1","112,50 kr.","Måneskjold-Kometen Kommer"
"Bland Bladen","Vederkvickelse","Kommun2-29","4351","12"" LP:1","Format:select:1","112,50 kr.","Bland Bladen-Vederkvickelse"
"Agusa","Högtid","Kommun2-24","4350","12"" LP:1","Format:select:1","112,50 kr.","Agusa-Högtid"
"Agusa","Katarsis","Kommun2-39","4349","12"" LP:1","Format:select:1","112,50 kr.","Agusa-Katarsis"
"Alucarda","Raw Howls","Kommun2-38","4348","12"" LP:1","Format:select:1","112,50 kr.","Alucarda-Raw Howls"
"Vårt Solsystem","Världsliga bekymmer","Kommun2-40","4347","12"" LP:1","Format:select:1","112,50 kr.","Vårt Solsystem-Världsliga bekymmer"
"Pernille Rosendahl","Dark Bird","NA701","4346","12""LP:1","Format:select:1","95,00 kr.","Pernille Rosendahl-Dark Bird"
"Pernille Rosendahl","Dark Bird","NA702","4346","CD:1","Format:select:1","40,00 kr.","Pernille Rosendahl-Dark Bird"
"Polyfeen","Silhouetter","Komunn2-41","4345","12"" LP:1","Format:select:1","125,00 kr.","Polyfeen-Silhouetter"
"Polyfeen","Silhouetter","Komunn2-41","4345","12"" LP:1","Format:select:1","125,00 kr.","Polyfeen-Silhouetter"
"Polyfeen","Silhouetter","Komunn2-41-1","4345","12"" LP:1","Format:select:1","112,50 kr.","Polyfeen-Silhouetter"
"Polyfeen","Silhouetter","Komunn2-41-1","4345","12"" LP:1","Format:select:1","112,50 kr.","Polyfeen-Silhouetter"
"Polyfeen","Silhouetter","Komunn2-41-2","4345","12"" LP:1","Format:select:1","150,00 kr.","Polyfeen-Silhouetter"
"Polyfeen","Silhouetter","Komunn2-41-2","4345","12"" LP:1","Format:select:1","150,00 kr.","Polyfeen-Silhouetter"
"Esben Amdisen","Sange i Sort","NA800","4344","10""EP:1","Format:select:1","65,00 kr.","Esben Amdisen-Sange i Sort"
"Esben Amdisen","De lokkende lys","PLREC002","4343","12"" LP:1","Format:select:1","75,00 kr.","Esben Amdisen-De lokkende lys"
"Esben Amdisen","De lokkende lys","PLREC002","4343","12"" LP:1","Format:select:1","75,00 kr.","Esben Amdisen-De lokkende lys"
"Radio Free Mermaid","S/T","NA700","4342","2 x LP:1","Format:select:1","100,00 kr.","Radio Free Mermaid-S/T"
"Radio Free Mermaid","S/T","NA705","4342","CD:1","Format:select:1","62,50 kr.","Radio Free Mermaid-S/T"
"Lindring","Giv tid","BRALIN2017002","4341","12"" LP:1","Format:select:1","120,00 kr.","Lindring-Giv tid"
"Lindring","Giv tid","BRALIN2017002","4341","12"" LP:1","Format:select:1","120,00 kr.","Lindring-Giv tid"
"Lindring","Giv tid","BRALIN2017003","4341","CD:1","Format:select:1","50,00 kr.","Lindring-Giv tid"
"Lindring","Giv tid","BRALIN2017003","4341","CD:1","Format:select:1","50,00 kr.","Lindring-Giv tid"
"Sonja LaBianca","About Room, Room to be, Rooms","EV_08_SLB01","4340","12"" LP:1","Format:select:1","75,00 kr.","Sonja LaBianca-About Room, Room to be, Rooms"
"Sonja LaBianca","About Room, Room to be, Rooms","EV_08_SLB01","4340","12"" LP:1","Format:select:1","75,00 kr.","Sonja LaBianca-About Room, Room to be, Rooms"
